# DEFERRED WIP — NOT ACTIVE (ghr-ktvy5 checkpoint 1c): dispositions below describe a
# CANDIDATE five-group policy. The active root baseline is `pedantic = warn` only.
# clippy 1.98.0 (88d9e12ae1 2026-08-18) active-lint disposition audit
# source: rustup run 1.98.0 clippy-driver -W help (822 active lints, 0 ungrouped)
# pilot: cargo clippy -p cherry-pit-core -p gh-report --all-targets -- -W clippy::{all,pedantic,nursery,restriction,cargo}
lint	default_level	groups	disposition	pilot_hits
clone_on_ref_ptr	allow	restriction	retained-scope-pending	11
cloned_instead_of_copied	allow	pedantic	retained	0
cloned_ref_to_slice_refs	warn	all,perf	retained	0
cmp_null	warn	all,style	retained	0
cmp_owned	warn	all,perf	retained	0
coerce_container_to_any	allow	nursery	retained	0
cognitive_complexity	allow	restriction	retained-scope-pending	1
collapsible_else_if	allow	pedantic	retained	0
collapsible_if	warn	all,style	retained	0
collapsible_match	warn	all,style	retained	0
collapsible_str_replace	warn	all,perf	retained	0
collection_is_never_read	allow	nursery	retained	0
comparison_chain	allow	pedantic	retained	0
comparison_to_empty	warn	all,style	retained	0
confusing_method_to_numeric_cast	warn	all,suspicious	retained	0
const_is_empty	warn	all,suspicious	retained	0
copy_iterator	allow	pedantic	retained	0
crate_in_macro_def	warn	all,suspicious	retained	0
create_dir	allow	restriction	retained	0
crosspointer_transmute	warn	all,suspicious	retained	0
dbg_macro	allow	restriction	retained	0
debug_assert_with_mut_call	allow	nursery	retained	0
decimal_bitwise_operands	allow	pedantic	retained	0
decimal_literal_representation	allow	restriction	retained-scope-pending	4
declare_interior_mutable_const	warn	all,suspicious	retained	0
default_constructed_unit_structs	warn	all,complexity	retained	0
default_instead_of_iter_empty	warn	all,style	retained	0
default_numeric_fallback	allow	restriction	excluded	440
default_trait_access	allow	pedantic	retained	0
default_union_representation	allow	restriction	retained	0
deprecated_cfg_attr	warn	all,complexity	retained	0
deprecated_clippy_cfg_attr	warn	all,suspicious	retained	0
deprecated_semver	deny	all,correctness	retained	0
deref_addrof	warn	all,complexity	retained	0
deref_by_slicing	allow	restriction	retained	0
derivable_impls	warn	all,complexity	retained	0
derive_ord_xor_partial_ord	deny	all,correctness	retained	0
derive_partial_eq_without_eq	allow	nursery	retained-scope-pending	5
derived_hash_with_manual_eq	deny	all,correctness	retained	0
disallowed_fields	warn	all,style	retained	0
disallowed_macros	warn	all,style	retained	0
disallowed_methods	warn	all,style	retained	0
disallowed_names	warn	all,style	retained	0
disallowed_script_idents	allow	restriction	retained	0
disallowed_types	warn	all,style	retained	0
diverging_sub_expression	warn	all,complexity	retained	0
doc_broken_link	allow	pedantic	retained	0
doc_comment_double_space_linebreaks	allow	pedantic	retained	0
doc_include_without_cfg	allow	restriction	retained	0
doc_lazy_continuation	warn	all,style	retained	0
doc_link_code	allow	nursery	retained	0
doc_link_with_quotes	allow	pedantic	retained	0
doc_markdown	allow	pedantic	retained	0
doc_nested_refdefs	warn	all,suspicious	retained	0
doc_overindented_list_items	warn	all,style	retained	0
doc_paragraphs_missing_punctuation	allow	restriction	retained-scope-pending	2
doc_suspicious_footnotes	warn	all,suspicious	retained	0
double_comparisons	warn	all,complexity	retained	0
double_ended_iterator_last	warn	all,perf	retained	0
double_must_use	warn	all,style	retained	0
double_parens	warn	all,complexity	retained	0
drain_collect	warn	all,perf	retained	0
drop_non_drop	warn	all,suspicious	retained	0
duplicate_mod	warn	all,suspicious	retained	0
duplicate_underscore_argument	warn	all,style	retained	0
duplicated_attributes	warn	all,suspicious	retained	0
duration_suboptimal_units	allow	pedantic	retained	0
duration_subsec	warn	all,complexity	retained	0
eager_transmute	deny	all,correctness	retained	0
elidable_lifetime_names	allow	pedantic	retained	0
else_if_without_else	allow	restriction	excluded	16
empty_docs	warn	all,suspicious	retained	0
empty_drop	allow	restriction	retained	0
empty_enum_variants_with_brackets	allow	restriction	retained	0
empty_enums	allow	nursery	retained	0
empty_line_after_doc_comments	warn	all,suspicious	retained	0
empty_line_after_outer_attr	warn	all,suspicious	retained	0
empty_loop	warn	all,suspicious	retained	0
empty_structs_with_brackets	allow	restriction	retained	0
enum_clike_unportable_variant	deny	all,correctness	retained	0
enum_glob_use	allow	pedantic	retained	0
enum_variant_names	warn	all,style	retained	0
eq_op	deny	all,correctness	retained	0
equatable_if_let	allow	nursery	retained	0
erasing_op	deny	all,correctness	retained	0
err_expect	warn	all,style	retained	0
error_impl_error	allow	restriction	retained	0
excessive_nesting	warn	all,complexity	retained	0
excessive_precision	warn	all,style	retained	0
exhaustive_enums	allow	restriction	excluded	169
exhaustive_structs	allow	restriction	excluded	258
exit	allow	restriction	retained	0
expect_fun_call	warn	all,perf	retained	0
expect_used	allow	restriction	retained-scope-pending	1041
expl_impl_clone_on_copy	allow	pedantic	retained	0
explicit_auto_deref	warn	all,complexity	retained	0
explicit_counter_loop	warn	all,complexity	retained	0
explicit_deref_methods	allow	pedantic	retained	0
explicit_into_iter_loop	allow	pedantic	retained	0
explicit_iter_loop	allow	pedantic	retained	0
explicit_write	warn	all,complexity	retained	0
extend_with_drain	warn	all,perf	retained	0
extra_unused_lifetimes	warn	all,complexity	retained	0
extra_unused_type_parameters	warn	all,complexity	retained	0
fallible_impl_from	allow	nursery	retained	0
field_reassign_with_default	warn	all,style	retained	0
field_scoped_visibility_modifiers	allow	restriction	excluded	70
filetype_is_file	allow	restriction	retained	0
filter_map_bool_then	warn	all,style	retained	0
filter_map_identity	warn	all,complexity	retained	0
filter_map_next	allow	pedantic	retained	0
filter_next	warn	all,complexity	retained	0
flat_map_identity	warn	all,complexity	retained	0
flat_map_option	allow	pedantic	retained	0
float_arithmetic	allow	restriction	retained-scope-pending	23
float_cmp	allow	pedantic	retained	0
float_cmp_const	allow	restriction	retained	0
float_equality_without_abs	warn	all,suspicious	retained	0
fn_params_excessive_bools	allow	pedantic	retained	0
fn_to_numeric_cast	warn	all,style	retained	0
fn_to_numeric_cast_any	allow	restriction	retained	0
fn_to_numeric_cast_with_truncation	warn	all,style	retained	0
for_kv_map	warn	all,style	retained	0
for_unbounded_range	warn	all,suspicious	retained	0
forget_non_drop	warn	all,suspicious	retained	0
format_collect	allow	pedantic	retained	0
format_in_format_args	warn	all,perf	retained	0
format_push_string	allow	pedantic	retained	0
four_forward_slashes	warn	all,suspicious	retained	0
from_over_into	warn	all,style	retained	0
from_raw_with_void_ptr	warn	all,suspicious	retained	0
from_str_radix_10	warn	all,style	retained	0
future_not_send	allow	nursery	retained-scope-pending	15
get_first	warn	all,style	retained	0
get_last_with_len	warn	all,complexity	retained	0
get_unwrap	allow	restriction	retained-scope-pending	29
host_endian_bytes	allow	restriction	retained	0
identity_op	warn	all,complexity	retained	0
if_let_mutex	deny	all,correctness	retained	0
if_not_else	allow	pedantic	retained	0
if_same_then_else	warn	all,style	retained	0
if_then_some_else_none	allow	restriction	retained-scope-pending	15
ifs_same_cond	deny	all,correctness	retained	0
ignore_without_reason	allow	pedantic	retained	0
ignored_unit_patterns	allow	pedantic	retained	0
impl_hash_borrow_with_str_and_bytes	deny	all,correctness	retained	0
impl_trait_in_params	allow	restriction	excluded	33
implicit_clone	allow	pedantic	retained	0
implicit_hasher	allow	pedantic	retained	0
implicit_return	allow	restriction	excluded	5811
implicit_saturating_add	warn	all,style	retained	0
implicit_saturating_sub	warn	all,style	retained	0
implied_bounds_in_impls	warn	all,complexity	retained	0
impossible_comparisons	deny	all,correctness	retained	0
imprecise_flops	allow	nursery	retained	0
incompatible_msrv	warn	all,suspicious	retained	0
inconsistent_digit_grouping	warn	all,style	retained	0
inconsistent_struct_constructor	allow	pedantic	retained	0
index_refutable_slice	allow	pedantic	retained	0
indexing_slicing	allow	restriction	retained-scope-pending	844
ineffective_bit_mask	deny	all,correctness	retained	0
ineffective_open_options	warn	all,suspicious	retained	0
inefficient_to_string	allow	pedantic	retained	0
infallible_destructuring_match	warn	all,style	retained	0
infallible_try_from	warn	all,suspicious	retained	0
infinite_iter	deny	all,correctness	retained	0
infinite_loop	allow	restriction	retained	0
inherent_to_string	warn	all,style	retained	0
inherent_to_string_shadow_display	deny	all,correctness	retained	0
init_numbered_fields	warn	all,style	retained	0
inline_always	allow	pedantic	retained	0
inline_asm_x86_att_syntax	allow	restriction	retained	0
inline_asm_x86_intel_syntax	allow	restriction	retained	0
inline_fn_without_body	deny	all,correctness	retained	0
inline_modules	allow	restriction	excluded	79
inline_trait_bounds	allow	restriction	retained-scope-pending	56
inspect_for_each	warn	all,complexity	retained	0
int_plus_one	warn	all,complexity	retained	0
integer_division	allow	restriction	retained-scope-pending	42
integer_division_remainder_used	allow	restriction	retained-scope-pending	76
into_iter_on_ref	warn	all,style	retained	0
into_iter_without_iter	allow	pedantic	retained	0
invalid_regex	deny	all,correctness	retained	0
invalid_upcast_comparisons	allow	pedantic	retained	0
inverted_saturating_sub	deny	all,correctness	retained	0
invisible_characters	deny	all,correctness	retained	0
io_other_error	warn	all,style	retained	0
ip_constant	allow	pedantic	retained	0
is_digit_ascii_radix	warn	all,style	retained	0
items_after_statements	allow	pedantic	retained	0
items_after_test_module	warn	all,style	retained	0
iter_cloned_collect	warn	all,style	retained	0
iter_count	warn	all,complexity	retained	0
iter_filter_is_ok	allow	pedantic	retained	0
iter_filter_is_some	allow	pedantic	retained	0
iter_kv_map	warn	all,complexity	retained	0
iter_next_loop	deny	all,correctness	retained	0
iter_next_slice	warn	all,style	retained	0
iter_not_returning_iterator	allow	pedantic	retained	0
iter_nth	warn	all,style	retained	0
iter_nth_zero	warn	all,style	retained	0
iter_on_empty_collections	allow	nursery	retained	0
iter_on_single_items	allow	nursery	retained-scope-pending	3
iter_out_of_bounds	warn	all,suspicious	retained	0
iter_over_hash_type	allow	restriction	retained-scope-pending	22
iter_overeager_cloned	warn	all,perf	retained	0
iter_skip_next	warn	all,style	retained	0
iter_skip_zero	deny	all,correctness	retained	0
iter_with_drain	allow	nursery	retained	0
iter_without_into_iter	allow	pedantic	retained	0
iterator_step_by_zero	deny	all,correctness	retained	0
join_absolute_paths	warn	all,suspicious	retained	0
just_underscores_and_digits	warn	all,style	retained	0
large_const_arrays	warn	all,perf	retained	0
large_digit_groups	allow	pedantic	retained	0
large_enum_variant	warn	all,perf	retained	0
large_futures	allow	pedantic	retained	0
large_include_file	allow	restriction	retained	0
large_stack_arrays	allow	pedantic	retained	0
large_stack_frames	allow	nursery	retained	0
large_types_passed_by_value	allow	pedantic	retained	0
legacy_numeric_constants	warn	all,style	retained	0
len_without_is_empty	warn	all,style	retained	0
len_zero	warn	all,style	retained	0
let_and_return	warn	all,style	retained	0
let_underscore_future	warn	all,suspicious	retained	0
let_underscore_lock	deny	all,correctness	retained	0
let_underscore_must_use	allow	restriction	retained-scope-pending	43
let_underscore_untyped	allow	restriction	retained-scope-pending	61
let_unit_value	warn	all,style	retained	0
let_with_type_underscore	warn	all,complexity	retained	0
lines_filter_map_ok	warn	all,suspicious	retained	0
linkedlist	allow	pedantic	retained	0
lint_groups_priority	deny	all,correctness	retained	0
literal_string_with_formatting_args	allow	nursery	retained	0
little_endian_bytes	allow	restriction	retained	0
lossy_float_literal	allow	restriction	retained	0
macro_metavars_in_unsafe	warn	all,suspicious	retained	0
macro_use_imports	allow	pedantic	retained	0
main_recursion	warn	all,style	retained	0
manual_abs_diff	warn	all,complexity	retained	0
manual_assert	allow	pedantic	retained	0
manual_assert_eq	allow	pedantic	retained	0
manual_async_fn	warn	all,style	retained	0
manual_bits	warn	all,style	retained	0
manual_c_str_literals	warn	all,complexity	retained	0
manual_checked_ops	warn	all,complexity	retained	0
manual_clamp	warn	all,complexity	retained	0
manual_clear	warn	all,perf	retained	0
manual_contains	warn	all,perf	retained	0
manual_dangling_ptr	warn	all,style	retained	0
manual_div_ceil	warn	all,complexity	retained	0
manual_filter	warn	all,complexity	retained	0
manual_filter_map	warn	all,complexity	retained	0
manual_find	warn	all,complexity	retained	0
manual_find_map	warn	all,complexity	retained	0
manual_flatten	warn	all,complexity	retained	0
manual_hash_one	warn	all,complexity	retained	0
manual_ignore_case_cmp	warn	all,perf	retained	0
manual_ilog2	allow	pedantic	retained	0
manual_inspect	warn	all,complexity	retained	0
manual_instant_elapsed	allow	pedantic	retained	0
manual_is_ascii_check	warn	all,style	retained	0
manual_is_finite	warn	all,style	retained	0
manual_is_infinite	warn	all,style	retained	0
manual_is_multiple_of	warn	all,complexity	retained	0
manual_is_power_of_two	allow	pedantic	retained	0
manual_is_variant_and	allow	pedantic	retained	0
manual_isolate_lowest_one	warn	all,complexity	retained	0
manual_let_else	allow	pedantic	retained	0
manual_main_separator_str	warn	all,complexity	retained	0
manual_map	warn	all,style	retained	0
manual_memcpy	warn	all,perf	retained	0
manual_midpoint	allow	pedantic	retained	0
manual_next_back	warn	all,style	retained	0
manual_non_exhaustive	warn	all,style	retained	0
manual_noop_waker	warn	all,complexity	retained	0
manual_ok_err	warn	all,complexity	retained	0
manual_ok_or	warn	all,style	retained	0
manual_option_as_slice	warn	all,complexity	retained	0
manual_option_zip	warn	all,complexity	retained	0
manual_pattern_char_comparison	warn	all,style	retained	0
manual_pop_if	warn	all,complexity	retained	0
manual_range_contains	warn	all,style	retained	0
manual_range_patterns	warn	all,complexity	retained	0
manual_rem_euclid	warn	all,complexity	retained	0
manual_repeat_n	warn	all,style	retained	0
manual_retain	warn	all,perf	retained	0
manual_rotate	warn	all,style	retained	0
manual_saturating_arithmetic	warn	all,style	retained	0
manual_slice_fill	warn	all,style	retained	0
manual_slice_size_calculation	warn	all,complexity	retained	0
manual_split_once	warn	all,complexity	retained	0
manual_str_repeat	warn	all,perf	retained	0
manual_string_new	allow	pedantic	retained	0
manual_strip	warn	all,complexity	retained	0
manual_swap	warn	all,complexity	retained	0
manual_take	warn	all,complexity	retained	0
manual_try_fold	warn	all,perf	retained	0
manual_unwrap_or	warn	all,complexity	retained	0
manual_unwrap_or_default	warn	all,suspicious	retained	0
manual_while_let_some	warn	all,style	retained	0
many_single_char_names	allow	pedantic	retained	0
map_all_any_identity	warn	all,complexity	retained	0
map_clone	warn	all,style	retained	0
map_collect_result_unit	warn	all,style	retained	0
map_entry	warn	all,perf	retained	0
map_err_ignore	allow	restriction	retained-scope-pending	58
map_flatten	warn	all,complexity	retained	0
map_identity	warn	all,complexity	retained	0
map_or_identity	warn	all,complexity	retained	0
map_unwrap_or	allow	pedantic	retained	0
map_with_unused_argument_over_ranges	allow	restriction	retained-scope-pending	4
match_as_ref	warn	all,complexity	retained	0
match_bool	allow	pedantic	retained	0
match_like_matches_macro	warn	all,style	retained	0
match_overlapping_arm	warn	all,style	retained	0
match_ref_pats	warn	all,style	retained	0
match_result_ok	warn	all,style	retained	0
match_same_arms	allow	pedantic	retained	0
match_single_binding	warn	all,complexity	retained	0
match_str_case_mismatch	deny	all,correctness	retained	0
match_wild_err_arm	allow	pedantic	retained	0
match_wildcard_for_single_variants	allow	pedantic	retained	0
maybe_infinite_iter	allow	pedantic	retained	0
mem_forget	allow	restriction	retained	0
mem_replace_option_with_none	warn	all,style	retained	0
mem_replace_option_with_some	warn	all,style	retained	0
mem_replace_with_default	warn	all,style	retained	0
mem_replace_with_uninit	deny	all,correctness	retained	0
min_ident_chars	allow	restriction	excluded	1382
min_max	deny	all,correctness	retained	0
mismatching_type_param_order	allow	pedantic	retained	0
misnamed_getters	warn	all,suspicious	retained	0
misrefactored_assign_op	warn	all,suspicious	retained	0
missing_assert_message	allow	restriction	retained-scope-pending	13
missing_asserts_for_indexing	allow	restriction	retained	0
missing_const_for_fn	allow	nursery	retained-scope-pending	321
missing_const_for_thread_local	warn	all,perf	retained	0
missing_docs_in_private_items	allow	restriction	excluded	1221
missing_enforced_import_renames	warn	all,style	retained	0
missing_errors_doc	allow	pedantic	retained	0
missing_fields_in_debug	allow	pedantic	retained	0
missing_inline_in_public_items	allow	restriction	excluded	1519
missing_panics_doc	allow	pedantic	retained	0
missing_safety_doc	warn	all,style	retained	0
missing_spin_loop	warn	all,perf	retained	0
missing_trait_methods	allow	restriction	retained-scope-pending	286
missing_transmute_annotations	warn	all,suspicious	retained	0
mistyped_literal_suffixes	deny	all,correctness	retained	0
mixed_attributes_style	warn	all,style	retained	0
mixed_case_hex_literals	warn	all,style	retained	0
mixed_read_write_in_expression	allow	restriction	retained	0
mod_module_files	allow	restriction	excluded	27
module_inception	warn	all,style	retained	0
module_name_repetitions	allow	restriction	retained-scope-pending	147
modulo_arithmetic	allow	restriction	retained-scope-pending	1
modulo_one	deny	all,correctness	retained	0
multi_assignments	warn	all,suspicious	retained	0
multiple_bound_locations	warn	all,style	retained	0
multiple_crate_versions	allow	cargo	retained-scope-pending	100
multiple_inherent_impl	allow	restriction	retained-scope-pending	15
multiple_unsafe_ops_per_block	allow	restriction	retained	0
must_use_candidate	allow	pedantic	retained	0
must_use_unit	warn	all,style	retained	0
mut_from_ref	deny	all,correctness	retained	0
mut_mut	allow	pedantic	retained	0
mut_mutex_lock	warn	all,style	retained	0
mut_range_bound	warn	all,suspicious	retained	0
mutable_key_type	warn	all,suspicious	retained	0
mutex_atomic	allow	restriction	retained	0
mutex_integer	allow	restriction	retained	0
naive_bytecount	allow	pedantic	retained	0
needless_arbitrary_self_type	warn	all,complexity	retained	0
needless_as_bytes	warn	all,complexity	retained	0
needless_bitwise_bool	allow	pedantic	retained	0
needless_bool	warn	all,complexity	retained	0
needless_bool_assign	warn	all,complexity	retained	0
needless_borrow	warn	all,style	retained	0
needless_borrowed_reference	warn	all,complexity	retained	0
needless_borrows_for_generic_args	warn	all,style	retained	0
needless_character_iteration	warn	all,suspicious	retained	0
needless_collect	allow	nursery	retained	0
needless_continue	allow	pedantic	retained	0
needless_doctest_main	warn	all,style	retained	0
needless_else	warn	all,style	retained	0
needless_for_each	allow	pedantic	retained	0
needless_ifs	warn	all,complexity	retained	0
needless_late_init	warn	all,style	retained	0
needless_lifetimes	warn	all,complexity	retained	0
needless_match	warn	all,complexity	retained	0
needless_maybe_sized	warn	all,suspicious	retained	0
needless_option_as_deref	warn	all,complexity	retained	0
needless_option_take	warn	all,complexity	retained	0
needless_parens_on_range_literals	warn	all,style	retained	0
needless_pass_by_ref_mut	allow	nursery	retained	0
needless_pass_by_value	allow	pedantic	retained	0
needless_pub_self	warn	all,style	retained	0
needless_question_mark	warn	all,complexity	retained	0
needless_range_loop	warn	all,style	retained	0
needless_raw_string_hashes	allow	pedantic	retained	0
needless_raw_strings	allow	restriction	retained-scope-pending	3
needless_return	warn	all,style	retained	0
needless_return_with_question_mark	warn	all,style	retained	0
needless_splitn	warn	all,complexity	retained	0
needless_type_cast	allow	nursery	retained	0
needless_update	warn	all,complexity	retained	0
neg_cmp_op_on_partial_ord	warn	all,complexity	retained	0
neg_multiply	warn	all,style	retained	0
negative_feature_names	allow	cargo	retained	0
never_loop	deny	all,correctness	retained	0
new_ret_no_self	warn	all,style	retained	0
new_without_default	warn	all,style	retained	0
no_effect	warn	all,complexity	retained	0
no_effect_replace	warn	all,suspicious	retained	0
no_effect_underscore_binding	allow	pedantic	retained	0
no_mangle_with_rust_abi	allow	pedantic	retained	0
non_ascii_literal	allow	restriction	excluded	285
non_canonical_clone_impl	warn	all,suspicious	retained	0
non_canonical_partial_ord_impl	warn	all,suspicious	retained	0
non_minimal_cfg	warn	all,style	retained	0
non_octal_unix_permissions	deny	all,correctness	retained	0
non_send_fields_in_send_ty	allow	nursery	retained	0
non_std_lazy_statics	allow	pedantic	retained	0
non_zero_suggestions	allow	restriction	retained	0
nonminimal_bool	allow	pedantic	retained	0
nonsensical_open_options	deny	all,correctness	retained	0
nonstandard_macro_braces	allow	nursery	retained	0
not_unsafe_ptr_arg_deref	deny	all,correctness	retained	0
obfuscated_if_else	warn	all,style	retained	0
octal_escapes	warn	all,suspicious	retained	0
ok_expect	warn	all,style	retained	0
only_used_in_recursion	warn	all,complexity	retained	0
op_ref	warn	all,style	retained	0
option_as_ref_cloned	allow	pedantic	retained	0
option_as_ref_deref	warn	all,complexity	retained	0
option_env_unwrap	deny	all,correctness	retained	0
option_filter_map	warn	all,complexity	retained	0
option_if_let_else	allow	nursery	retained-scope-pending	74
option_map_or_none	warn	all,style	retained	0
option_map_unit_fn	warn	all,complexity	retained	0
option_option	allow	pedantic	retained	0
or_fun_call	allow	nursery	retained-scope-pending	1
or_then_unwrap	warn	all,complexity	retained	0
out_of_bounds_indexing	deny	all,correctness	retained	0
overly_complex_bool_expr	allow	pedantic	retained	0
owned_cow	warn	all,style	retained	0
panic	allow	restriction	retained-scope-pending	109
panic_in_result_fn	allow	restriction	retained-scope-pending	1
panicking_overflow_checks	deny	all,correctness	retained	0
panicking_unwrap	deny	all,correctness	retained	0
partial_pub_fields	allow	restriction	retained-scope-pending	9
partialeq_ne_impl	warn	all,complexity	retained	0
partialeq_to_none	warn	all,style	retained	0
path_buf_push_overwrite	allow	nursery	retained	0
path_ends_with_ext	warn	all,suspicious	retained	0
pathbuf_init_then_push	allow	restriction	retained	0
pattern_type_mismatch	allow	restriction	excluded	365
permissions_set_readonly_false	warn	all,suspicious	retained	0
pointer_format	allow	restriction	retained	0
pointers_in_nomem_asm_block	warn	all,suspicious	retained	0
possible_missing_comma	deny	all,correctness	retained	0
possible_missing_else	warn	all,suspicious	retained	0
precedence	warn	all,complexity	retained	0
precedence_bits	allow	restriction	retained	0
print_in_format_impl	warn	all,suspicious	retained	0
print_literal	warn	all,style	retained	0
print_stderr	allow	restriction	excluded	9
print_stdout	allow	restriction	excluded	6
print_with_newline	warn	all,style	retained	0
println_empty_string	warn	all,style	retained	0
ptr_arg	warn	all,style	retained	0
ptr_as_ptr	allow	pedantic	retained	0
ptr_cast_constness	allow	pedantic	retained	0
ptr_eq	warn	all,style	retained	0
ptr_offset_by_literal	allow	pedantic	retained	0
ptr_offset_with_cast	warn	all,complexity	retained	0
pub_underscore_fields	allow	pedantic	retained	0
pub_use	allow	restriction	excluded	104
pub_with_shorthand	allow	restriction	excluded	266
pub_without_shorthand	allow	restriction	excluded	0
question_mark	warn	all,style	retained	0
question_mark_used	allow	restriction	excluded	1069
range_minus_one	allow	pedantic	retained	0
range_plus_one	allow	pedantic	retained	0
range_zip_with_len	warn	all,complexity	retained	0
rc_buffer	allow	restriction	retained-scope-pending	2
rc_clone_in_vec_init	warn	all,suspicious	retained	0
rc_mutex	allow	restriction	retained	0
read_line_without_trim	deny	all,correctness	retained	0
read_zero_byte_vec	allow	nursery	retained	0
readonly_write_lock	warn	all,perf	retained	0
recursive_format_impl	deny	all,correctness	retained	0
redundant_allocation	warn	all,perf	retained	0
redundant_as_str	warn	all,complexity	retained	0
redundant_async_block	warn	all,complexity	retained	0
redundant_at_rest_pattern	warn	all,complexity	retained	0
redundant_clone	allow	nursery	retained-scope-pending	44
redundant_closure	warn	all,style	retained	0
redundant_closure_call	warn	all,complexity	retained	0
redundant_closure_for_method_calls	allow	pedantic	retained	0
redundant_comparisons	deny	all,correctness	retained	0
redundant_else	allow	pedantic	retained	0
redundant_feature_names	allow	cargo	retained	0
redundant_field_names	warn	all,style	retained	0
redundant_guards	warn	all,complexity	retained	0
redundant_iter_cloned	warn	all,perf	retained	0
redundant_locals	warn	all,suspicious	retained	0
redundant_pattern	warn	all,style	retained	0
redundant_pattern_matching	warn	all,style	retained	0
redundant_pub_crate	allow	nursery	retained-scope-pending	85
redundant_slicing	warn	all,complexity	retained	0
redundant_static_lifetimes	warn	all,style	retained	0
redundant_test_prefix	allow	restriction	excluded	3
redundant_type_annotations	allow	restriction	retained-scope-pending	3
ref_as_ptr	allow	pedantic	retained	0
ref_binding_to_reference	allow	pedantic	retained	0
ref_option	allow	pedantic	retained	0
ref_option_ref	allow	pedantic	retained	0
ref_patterns	allow	restriction	excluded	39
regex_creation_in_loops	warn	all,perf	retained	0
renamed_function_params	allow	restriction	retained-scope-pending	7
repeat_once	warn	all,complexity	retained	0
repeat_vec_with_capacity	warn	all,suspicious	retained	0
replace_box	warn	all,perf	retained	0
repr_packed_without_abi	warn	all,suspicious	retained	0
reserve_after_initialization	warn	all,complexity	retained	0
rest_pat_in_fully_bound_structs	allow	restriction	retained	0
result_filter_map	warn	all,complexity	retained	0
